date 20110530, 20high 4965.0,20low 4767.0,10high 4858.0 10low 4775.0,Today high 4887.0, low 4845.0, position 0 , N 48.3647729449
date 20110531, 20high 4965.0,20low 4767.0,10high 4887.0 10low 4775.0,Today high 4894.0, low 4861.0, position 0 , N 48.3465342977
date 20110601, 20high 4959.0,20low 4767.0,10high 4894.0 10low 4775.0,Today high 4887.0, low 4868.0, position 0 , N 47.5792075828
date 20110602, 20high 4936.0,20low 4767.0,10high 4894.0 10low 4775.0,Today high 4866.0, low 4842.0, position 0 , N 46.1502472037
date 20110603, 20high 4894.0,20low 4767.0,10high 4894.0 10low 4775.0,Today high 4876.0, low 4858.0, position 0 , N 45.1427348435
date 20110607, 20high 4894.0,20low 4767.0,10high 4894.0 10low 4775.0,Today high 4868.0, low 4850.0, position 0 , N 43.7855981013
date 20110608, 20high 4894.0,20low 4767.0,10high 4894.0 10low 4775.0,Today high 4888.0, low 4833.0, position 0 , N 42.5963181962
date 20110609, 20high 4894.0,20low 4767.0,10high 4894.0 10low 4796.0,Today high 4877.0, low 4850.0, position 0 , N 43.2165022864
date 20110610, 20high 4894.0,20low 4767.0,10high 4894.0 10low 4818.0,Today high 4868.0, low 4851.0, position 0 , N 42.4056771721
date 20110613, 20high 4894.0,20low 4775.0,10high 4894.0 10low 4820.0,Today high 4840.0, low 4801.0, position 0 , N 41.1353933135
date 20110614, 20high 4894.0,20low 4775.0,10high 4894.0 10low 4801.0,Today high 4826.0, low 4795.0, position 0 , N 41.8286236478
date 20110615, 20high 4894.0,20low 4775.0,10high 4894.0 10low 4795.0,Today high 4825.0, low 4798.0, position 0 , N 41.2871924654
date 20110616, 20high 4894.0,20low 4775.0,10high 4888.0 10low 4795.0,Today high 4798.0, low 4771.0, position 0 , N 40.5728328422
date 20110616, short price 4775.0
date 20110617, 20high 4894.0,20low 4771.0,10high 4888.0 10low 4771.0,Today high 4788.0, low 4725.0, position -1 , N 39.9441912001
date 20110620, 20high 4894.0,20low 4725.0,10high 4888.0 10low 4725.0,Today high 4733.0, low 4688.0, position -1 , N 41.0969816401
date 20110621, 20high 4894.0,20low 4688.0,10high 4888.0 10low 4688.0,Today high 4715.0, low 4672.0, position -1 , N 41.342132558
date 20110622, 20high 4894.0,20low 4672.0,10high 4888.0 10low 4672.0,Today high 4723.0, low 4686.0, position -1 , N 41.4250259301
date 20110623, 20high 4894.0,20low 4672.0,10high 4877.0 10low 4672.0,Today high 4742.0, low 4683.0, position -1 , N 41.2037746336
